,Timestamp,Username,VideoID,Comment,Date,Lang
0,2024-10-11T14:10:11Z,@휑-d8z,yss4rIrHl6o,아 성진 진짜 ㅁㅊ 너무 잘생김,2024-10-11T14:10:11Z,ko
1,2024-10-11T13:02:04Z,@_youdied9442,yss4rIrHl6o,노래 겁나 좋네!!,2024-10-11T13:02:04Z,ko
2,2024-10-11T13:00:52Z,@지칙,yss4rIrHl6o,누가 계속 '녹아버려요'라고 검색하니..!,2024-10-11T13:00:52Z,ko
3,2024-10-11T05:22:15Z,@rasyazaidi,yss4rIrHl6o,"DAY6, please continue make good musics, you are our forever youth🫶🏼🍀",2024-10-11T05:22:15Z,en
4,2024-10-11T04:40:56Z,@Ohhohohohohohohohohohoho,yss4rIrHl6o,2006년으로 돌아가고싶다,2024-10-11T04:40:56Z,ko
5,2024-10-10T14:04:33Z,@terninator5735,yss4rIrHl6o,멜론차트를 장악하셨군요...,2024-10-10T14:04:33Z,ko
6,2024-10-10T04:44:00Z,@CheongGyeRunner,yss4rIrHl6o,개좋네 옛날 비투비생각나기도하고,2024-10-10T04:44:00Z,ko
7,2024-10-10T02:06:40Z,@rustiaalamira9525,yss4rIrHl6o,Love uuuuu,2024-10-10T02:06:40Z,et
8,2024-10-09T20:19:15Z,@fatimazahraelazzabi7645,yss4rIrHl6o,It was worth it to wait all this time for your comeback 😢 please never stop making music guys ❤❤❤,2024-10-09T20:19:15Z,en
9,2024-10-09T13:17:52Z,@strawberry_SC_sumin,yss4rIrHl6o,아니대박 36위,2024-10-09T13:17:52Z,ko
10,2024-10-08T13:45:39Z,@COOK-COOK-k7k,yss4rIrHl6o,원필이가 너무 ...ㅎ,2024-10-08T13:45:39Z,ko
11,2024-10-08T13:45:45Z,@COOK-COOK-k7k,yss4rIrHl6o,좋다..,2024-10-08T13:45:45Z,ko
12,2024-10-11T13:01:09Z,@지칙,yss4rIrHl6o,연필이요?,2024-10-11T13:01:09Z,ko
13,2024-10-11T13:11:20Z,@COOK-COOK-k7k,yss4rIrHl6o,뭐...뭐요:?,2024-10-11T13:11:20Z,ko
14,2024-10-08T13:33:41Z,@Sugat-t3d,yss4rIrHl6o,타팬인데 왜 내가 뿌듯하지.. 얘넨 9년차인데 계속 1위 못하는거 보고 나도 조금 맘 아팠는데 어느날 멜론 들어가보니 노래들이 다 순위권이라 진짜 놀랬었죠ㅋㅋㅋㅋ 데이식스 노래 좋아서 한번씩 시간나면 들었는데 너흰 솔직히 순위권으로 올라가야하는게 맞긴해.. 노래도 좋은데 이제라도 뜨는구나..,2024-10-08T13:33:41Z,ko
15,2024-10-08T13:24:47Z,@captainr2497,yss4rIrHl6o,OMG!!!! yes!!!,2024-10-08T13:24:47Z,tr
16,2024-10-08T06:02:43Z,@hdd720,yss4rIrHl6o,진짜 아이돌팔자 는 하루아침에 바뀐다는  권은비 말이 맞구만 좇망 해체직전 그룹이 국민밴드 대접받게 되네,2024-10-08T06:02:43Z,ko
17,2024-10-07T00:43:46Z,@vlovesohsehun,yss4rIrHl6o,Los amoooo,2024-10-07T00:43:46Z,et
