,Timestamp,Username,VideoID,Comment,Date,Lang
0,2023-08-30T08:43:44Z,@fellowfellowband,WtcKJtwMD2E,"ฟังเพลงของพวกเราได้แล้ววันนี้ในทุกช่องทาง streaming นะครับ
ดาวหางฮัลเลย์(Halley's Comet): https://bfan.link/HalleysComet",2023-08-30T08:43:43Z,th
1,2023-09-08T10:54:08Z,@phoudkeomanee2464,WtcKJtwMD2E,I’m so happy,2023-09-08T10:54:07Z,tl
2,2023-09-12T05:13:09Z,@adenxisp7620,WtcKJtwMD2E,บงงป,2023-09-12T05:13:08Z,th
3,2023-09-13T02:00:56Z,@orapankhaunkhay9398,WtcKJtwMD2E,โอ้โหหหห 2 อาทิตย์ 4 ล้านวิว,2023-09-13T02:00:55Z,th
4,2023-09-13T03:27:51Z,@ชวนชวน-ฐ8ฆ,WtcKJtwMD2E,​,2023-09-13T03:27:50Z,Other
5,2023-09-14T14:51:43Z,@Phing__Chiquita031.,WtcKJtwMD2E,☄️,2023-09-14T14:51:42Z,Other
6,2023-09-15T00:20:59Z,@__-yq1qo,WtcKJtwMD2E,ขอคำ,2023-09-15T00:20:58Z,th
7,2023-09-15T05:37:47Z,@Unfaeal,WtcKJtwMD2E,"ขอบคุณ​ครับเพลงดีมาก
เราร้องไห้เลย🥲",2023-09-15T05:37:46Z,th
8,2023-09-15T17:57:17Z,@pro_gram7326,WtcKJtwMD2E,@@phoudkeomanee2464ขข,2024-06-12T21:56:07Z,nl
9,2023-09-16T08:26:40Z,@nongkaem4537,WtcKJtwMD2E,+1,2023-09-16T08:26:39Z,Other
10,2023-09-16T10:34:27Z,@Shoto0142,WtcKJtwMD2E,เพราะมากเลยครับ,2023-09-16T10:34:27Z,th
11,2023-09-16T15:31:58Z,@suclash3313,WtcKJtwMD2E,เพราะมากๆครับ,2023-09-16T15:31:57Z,th
12,2023-09-16T17:04:59Z,@nongkaem4537,WtcKJtwMD2E,+1,2023-09-16T17:04:58Z,Other
13,2023-09-18T13:59:06Z,@วราภรณ์ทองพุ่ม,WtcKJtwMD2E,ถึงเวลานั้นฉันคงอายุ75ปี  ไว้พบกันนะ ดาวหางฮัลเลย์,2023-09-18T13:59:05Z,th
14,2023-09-18T14:05:26Z,@โอ๋แอนแอนโอ๋-บ6ณ,WtcKJtwMD2E,เพลงนี้คงจะสื่อถึงความรักกับใครสักคนที่กว่าจะได้มารักกัน..เพราะฉะนั้นก็จงเห็นคุณค่าและรักกันไปนานเท่านานและมั้ง❤❤❤,2023-09-18T14:05:25Z,th
15,2023-09-18T22:55:46Z,@BlueSky-mb1fo,WtcKJtwMD2E,จากวันแรกที่ฟังหลักหมื่นตอนนี้จะแตะ10ล้านแล้ว ดีใจแทนศิลปินจริงๆอ่ะ❤,2023-09-18T22:55:45Z,th
16,2023-09-20T03:01:10Z,@boonaumxxqw1107,WtcKJtwMD2E,จจจจจ,2023-09-20T03:01:09Z,th
17,2023-09-20T03:01:17Z,@boonaumxxqw1107,WtcKJtwMD2E,จจจจจจจจจจจจจ,2023-09-20T03:01:16Z,th
18,2023-09-20T03:03:12Z,@boonaumxxqw1107,WtcKJtwMD2E,จจจจจจจจจจจจจจจ,2023-09-20T03:03:11Z,th
19,2023-09-20T09:19:54Z,@sriwan11,WtcKJtwMD2E,เพราะค่ะ,2023-09-20T09:19:53Z,th
20,2023-09-20T11:40:19Z,@daburuar4162,WtcKJtwMD2E,​@@adenxisp7620ลลลลลลลลลลลลลลลล😊,2024-06-12T20:55:19Z,th
21,2023-09-20T15:47:43Z,@MrGusto-rg3kh,WtcKJtwMD2E,เพลงดีแห้งปีเลยจ้สสสาาา,2023-09-20T15:47:43Z,th
22,2023-09-20T20:42:00Z,@ปวิชญา_1905,WtcKJtwMD2E,"0:40 ิ
ิแ้ลฃ",2023-09-20T20:42:00Z,th
23,2023-09-21T02:11:06Z,@อดิศักดิ์เปาะทองคํา-ฐ6ย,WtcKJtwMD2E,🎉😊❤,2023-09-21T02:11:06Z,Other
24,2023-09-23T01:59:40Z,@phaiboon11306,WtcKJtwMD2E,"ผมจะได้ดู ดางหางฮาเล่ย์ ได้ไง
ในเมื่อการจากลาในเดือน เมษา ยังคงตอกย้ำอยู่อย่างนี้😅😅",2023-09-23T01:59:40Z,th
25,2023-09-23T23:22:53Z,@kanlayawadeepk2217,WtcKJtwMD2E,​@@phoudkeomanee2464ช,2024-06-12T20:55:19Z,nl
26,2023-09-24T08:26:49Z,@MrGusto-rg3kh,WtcKJtwMD2E,ลุงตกหลุมรักเพลงนีฮะ 😂😂😂,2023-09-24T08:26:48Z,th
27,2023-09-25T09:43:00Z,@Angusthemaew,WtcKJtwMD2E,เพราะเกินปุยมุ้ย❤❤❤,2023-09-25T09:42:59Z,th
28,2023-09-26T01:52:43Z,@aitsareebureerak72,WtcKJtwMD2E,💗,2023-09-26T01:52:42Z,Other
29,2023-09-26T10:52:46Z,@chontichasayjeang6320,WtcKJtwMD2E,ขอบคุณเพลงเพราะๆค่ะในวันที่เราเศร้ากับการป่วยโดนคำพูดทำร้ายจากคนที่ขึ้นชื่อว่าอ.หมอ.รพ.เล็กส่งตัวมารักษา รพ.ใหญ่ สิ่งที่ได้ทำให้เราคิดอยากตาย แต่แล้ว รพ.เล็กเปิดเพลงนี้อ.หมอ.รพ.เล็กเข้ามากอด+พี่ๆพยบให้กำลังใจ ❤โคตรรู้สึกที่ความห่วงใยความเอาใจใส่คนไข้❤,2023-09-26T10:52:46Z,th
30,2023-09-26T14:14:56Z,@destinesiablackwork5863,WtcKJtwMD2E,เป็นคนพูดไม่เก่งปากแข็งไม่รู้จะใช้คำว่าอะไรไปบอกคนที่เรารักมาก แต่พอมาเจอเพลนนี้แหละเป็นสิ่งที่แทนคำตอบจากหัวใจ,2023-09-26T14:14:56Z,th
31,2023-09-27T19:02:58Z,@naninan2004,WtcKJtwMD2E,❤,2023-09-27T19:02:58Z,Other
32,2023-09-28T08:36:52Z,@ittipanwayupak9620,WtcKJtwMD2E,@@orapankhaunkhay9398,2024-06-12T20:55:19Z,tl
33,2023-09-28T13:41:27Z,@theresiakartika7151,WtcKJtwMD2E,english version please,2023-09-28T13:41:27Z,en
34,2023-10-02T09:21:23Z,@bangonboonchoo9687,WtcKJtwMD2E,❤❤,2023-10-02T09:21:23Z,Other
35,2023-10-02T10:36:39Z,@อภิญญาชลเทพ-ฤ8ฌ,WtcKJtwMD2E,😊😊😊😊😊😊😊,2023-10-02T10:36:39Z,Other
36,2023-10-05T14:26:20Z,@KpKp-v3t,WtcKJtwMD2E,​@@adenxisp7620ไ😮😊,2024-06-12T20:55:19Z,pt
37,2023-10-05T15:19:31Z,@supananpiladee4725,WtcKJtwMD2E,ขอขข,2023-10-05T15:19:31Z,th
38,2023-10-05T16:25:46Z,@ณัฐพงษ์พัฒนา-ง9บ,WtcKJtwMD2E,ฟังวันล่ะ20รอบและก่อนนอนครับ❤,2023-10-05T16:25:46Z,th
39,2023-10-06T05:31:56Z,@ICE2551-p6k,WtcKJtwMD2E,ชอบเพลงนี้มากเลยเพราะมากที่สุด😊😊🎉🎉🎉🎉🌹🌹🌹🌺🌺🌺,2023-10-06T05:31:56Z,th
40,2023-10-07T02:01:56Z,@ลลนาอินทร์อ่อน,WtcKJtwMD2E,งงงงงงง,2023-10-07T02:01:56Z,th
41,2023-10-07T02:02:37Z,@ลลนาอินทร์อ่อน,WtcKJtwMD2E,​@@phoudkeomanee2464งงงบงงบบ,2024-06-12T20:55:19Z,nl
42,2023-10-07T02:03:21Z,@ลลนาอินทร์อ่อน,WtcKJtwMD2E,งงงงง😊บงงง,2023-10-07T02:03:21Z,th
